language,scenario,load_profile,methodology_version,result_classification,commit_sha,campaign_fingerprint,protocol_sha256,run,users,benchmark_kind,execution_order_position,method,endpoint,requests,failures,error_rate,avg_ms,p50_ms,p95_ms,p99_ms,throughput_rps,locust_reported_rps,throughput_source,test_elapsed_seconds,exact_measurement_window,resource_metrics_available,cadvisor_metrics_available,postgres_metrics_available,resource_metric_source,resource_metric_scope,cpu_average_percent,cpu_max_percent,memory_average_bytes,memory_max_bytes,cadvisor_coverage_percent,locust_cpu_average_percent,postgres_cpu_average_percent,postgres_connections_average,postgres_cache_hit_ratio
python,mixed_fixed_200,fixed_200,7,official,9bf804f519837b555d04b3e6ff4b9462cdc331e3,m7_9bf804f51983_54d7d8fefd79,legacy,3,50,fixed_rate,1,GET,GET /customers,8669,0,0.000000,16.656,11.000,44.000,91.000,28.897,28.893,request_count / monotonic elapsed_seconds,299.999,True,True,True,True,cadvisor_via_prometheus,whole_container_whole_run_not_endpoint_attribution,66.544,156.542,49922788.000,50552832.000,100.000,33.814,31.693,22.000,1.000
python,mixed_fixed_200,fixed_200,7,official,9bf804f519837b555d04b3e6ff4b9462cdc331e3,m7_9bf804f51983_54d7d8fefd79,legacy,3,50,fixed_rate,1,GET,GET /customers/{id},8971,0,0.000000,11.433,6.000,34.000,82.000,29.903,29.900,request_count / monotonic elapsed_seconds,299.999,True,True,True,True,cadvisor_via_prometheus,whole_container_whole_run_not_endpoint_attribution,66.544,156.542,49922788.000,50552832.000,100.000,33.814,31.693,22.000,1.000
python,mixed_fixed_200,fixed_200,7,official,9bf804f519837b555d04b3e6ff4b9462cdc331e3,m7_9bf804f51983_54d7d8fefd79,legacy,3,50,fixed_rate,1,GET,GET /health,2926,0,0.000000,9.715,5.000,32.000,82.000,9.753,9.752,request_count / monotonic elapsed_seconds,299.999,True,True,True,True,cadvisor_via_prometheus,whole_container_whole_run_not_endpoint_attribution,66.544,156.542,49922788.000,50552832.000,100.000,33.814,31.693,22.000,1.000
python,mixed_fixed_200,fixed_200,7,official,9bf804f519837b555d04b3e6ff4b9462cdc331e3,m7_9bf804f51983_54d7d8fefd79,legacy,3,50,fixed_rate,1,GET,GET /orders/{id},8979,0,0.000000,12.375,7.000,35.000,85.000,29.930,29.927,request_count / monotonic elapsed_seconds,299.999,True,True,True,True,cadvisor_via_prometheus,whole_container_whole_run_not_endpoint_attribution,66.544,156.542,49922788.000,50552832.000,100.000,33.814,31.693,22.000,1.000
python,mixed_fixed_200,fixed_200,7,official,9bf804f519837b555d04b3e6ff4b9462cdc331e3,m7_9bf804f51983_54d7d8fefd79,legacy,3,50,fixed_rate,1,GET,GET /products,9131,0,0.000000,13.467,7.000,42.000,90.000,30.437,30.433,request_count / monotonic elapsed_seconds,299.999,True,True,True,True,cadvisor_via_prometheus,whole_container_whole_run_not_endpoint_attribution,66.544,156.542,49922788.000,50552832.000,100.000,33.814,31.693,22.000,1.000
python,mixed_fixed_200,fixed_200,7,official,9bf804f519837b555d04b3e6ff4b9462cdc331e3,m7_9bf804f51983_54d7d8fefd79,legacy,3,50,fixed_rate,1,POST,POST /customers,5891,0,0.000000,79.458,62.000,210.000,310.000,19.637,19.634,request_count / monotonic elapsed_seconds,299.999,True,True,True,True,cadvisor_via_prometheus,whole_container_whole_run_not_endpoint_attribution,66.544,156.542,49922788.000,50552832.000,100.000,33.814,31.693,22.000,1.000
python,mixed_fixed_200,fixed_200,7,official,9bf804f519837b555d04b3e6ff4b9462cdc331e3,m7_9bf804f51983_54d7d8fefd79,legacy,3,50,fixed_rate,1,POST,POST /orders,8906,0,0.000000,99.670,75.000,260.000,370.000,29.687,29.683,request_count / monotonic elapsed_seconds,299.999,True,True,True,True,cadvisor_via_prometheus,whole_container_whole_run_not_endpoint_attribution,66.544,156.542,49922788.000,50552832.000,100.000,33.814,31.693,22.000,1.000
python,mixed_fixed_200,fixed_200,7,official,9bf804f519837b555d04b3e6ff4b9462cdc331e3,m7_9bf804f51983_54d7d8fefd79,legacy,3,50,fixed_rate,1,PUT,PUT /customers/{id},5919,0,0.000000,81.764,64.000,210.000,300.000,19.730,19.728,request_count / monotonic elapsed_seconds,299.999,True,True,True,True,cadvisor_via_prometheus,whole_container_whole_run_not_endpoint_attribution,66.544,156.542,49922788.000,50552832.000,100.000,33.814,31.693,22.000,1.000
node,mixed_fixed_200,fixed_200,7,official,9bf804f519837b555d04b3e6ff4b9462cdc331e3,m7_9bf804f51983_54d7d8fefd79,legacy,1,50,fixed_rate,2,GET,GET /customers,8862,0,0.000000,5.434,4.000,11.000,27.000,29.540,29.533,request_count / monotonic elapsed_seconds,300.000,True,True,True,True,cadvisor_via_prometheus,whole_container_whole_run_not_endpoint_attribution,23.977,42.221,61740243.000,64249856.000,100.000,27.881,27.157,22.000,1.000
node,mixed_fixed_200,fixed_200,7,official,9bf804f519837b555d04b3e6ff4b9462cdc331e3,m7_9bf804f51983_54d7d8fefd79,legacy,1,50,fixed_rate,2,GET,GET /customers/{id},8799,0,0.000000,3.715,2.000,8.000,24.000,29.330,29.323,request_count / monotonic elapsed_seconds,300.000,True,True,True,True,cadvisor_via_prometheus,whole_container_whole_run_not_endpoint_attribution,23.977,42.221,61740243.000,64249856.000,100.000,27.881,27.157,22.000,1.000
