Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787616121,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787616122,10,,Aggregated,0.000000,0.000000,11,39,46,56,71,110,140,140,140,140,140,98,0,11,30.708241816327877,3.8717289999965487,140.79188600001658,2519.4591836734694
1787616123,20,,Aggregated,0.000000,0.000000,25,43,62,67,89,96,110,140,160,160,160,299,0,25,37.113033886288,3.521768000013026,161.98750800000994,3411.277591973244
1787616124,30,,Aggregated,63.000000,0.000000,28,43,64,76,97,130,190,230,290,290,290,563,0,28,44.36064020959214,3.254524999988462,294.82836700000803,3756.4458259325042
1787616125,40,,Aggregated,115.000000,0.000000,45,68,84,93,150,200,260,290,340,340,340,870,0,44,63.556416602298995,3.254524999988462,335.80543699997634,4044.4827586206898
1787616126,50,,Aggregated,152.333333,0.000000,70,94,120,130,180,220,260,290,330,340,340,1209,0,70,82.0231509172873,3.254524999988462,335.80543699997634,4108.264681555004
1787616127,50,,Aggregated,186.750000,0.000000,88,110,130,140,190,220,250,290,340,340,340,1585,0,88,93.53049486940091,3.254524999988462,336.226245000006,4269.799369085174
1787616128,50,,Aggregated,215.800000,0.000000,92,120,140,160,210,250,340,380,500,510,510,1881,0,92,105.3855584875069,3.254524999988462,508.14567000000466,4160.5784157363105
1787616129,50,,Aggregated,240.166667,0.000000,99,120,140,160,210,240,340,380,470,510,510,2230,0,99,110.45362325426031,3.254524999988462,508.14567000000466,4098.886098654709
1787616130,50,,Aggregated,255.857143,0.000000,100,130,150,170,210,250,330,380,470,510,510,2582,0,100.0,114.17339921378792,3.254524999988462,508.14567000000466,4097.634779240899
1787616131,50,,Aggregated,260.500000,0.000000,100,130,150,170,210,240,310,370,470,510,510,2954,0,100.0,115.61274407853784,3.254524999988462,508.14567000000466,4036.801624915369
1787616132,50,,Aggregated,272.000000,0.000000,100,130,160,170,220,250,350,390,470,510,510,3249,0,100.0,119.64002745152384,3.254524999988462,508.14567000000466,4069.2339181286548
1787616133,50,,Aggregated,278.900000,0.000000,110,130,160,170,220,250,350,390,480,510,510,3598,0,110.0,121.59583768788254,3.254524999988462,508.14567000000466,4081.4021678710396
1787616134,50,,Aggregated,311.200000,0.000000,110,130,160,170,220,250,340,380,480,510,510,3956,0,110.0,122.57406070626932,3.254524999988462,508.14567000000466,4116.473458038423
1787616135,50,,Aggregated,319.600000,0.000000,110,130,160,180,220,260,340,380,470,510,510,4283,0,110.0,124.69069436983457,3.254524999988462,508.14567000000466,4114.562456222274
1787616136,50,,Aggregated,335.200000,0.000000,110,140,160,180,220,260,330,380,470,510,510,4612,0,110.0,126.27669817714678,3.254524999988462,508.14567000000466,4136.796834345187
1787616137,50,,Aggregated,338.400000,0.000000,110,140,160,180,220,260,340,380,470,510,510,4941,0,110.0,127.81149439627642,3.254524999988462,508.14567000000466,4150.613033798826
1787616138,50,,Aggregated,339.200000,0.000000,110,140,160,180,220,260,330,380,470,510,510,5329,0,110.0,127.57304845543277,3.254524999988462,508.14567000000466,4173.060611747044
1787616139,50,,Aggregated,333.500000,0.000000,110,140,160,180,220,250,330,380,470,510,510,5645,0,110.0,127.78949625243612,3.254524999988462,508.14567000000466,4214.370416297608
1787616140,50,,Aggregated,336.400000,0.000000,110,140,170,180,230,270,340,390,490,620,620,5931,0,110.0,131.22932733738017,3.254524999988462,617.3701300000118,4217.781149890407
1787616141,50,,Aggregated,346.000000,0.000000,110,140,170,180,230,270,340,380,490,620,620,6276,0,110.0,131.65378648406653,3.254524999988462,617.3701300000118,4245.670968769917
1787616142,50,,Aggregated,332.000000,0.000000,110,140,160,180,220,260,340,380,490,620,620,6645,0,110.0,131.15112856614033,3.254524999988462,617.3701300000118,4233.689541008277
1787616143,50,,Aggregated,332.300000,0.000000,110,140,160,180,230,270,340,390,490,620,620,6988,0,110.0,132.23244147552964,3.254524999988462,617.3701300000118,4231.885088723526
1787616144,50,,Aggregated,330.900000,0.000000,110,140,160,180,220,260,340,380,490,620,620,7388,0,110.0,131.6542444711695,3.254524999988462,617.3701300000118,4239.433676231727
1787616145,50,,Aggregated,338.200000,0.000000,110,140,160,180,230,270,350,390,490,620,620,7685,0,110.0,132.5371111891999,3.254524999988462,617.3701300000118,4241.656213402733
1787616146,50,,Aggregated,337.900000,0.000000,120,140,160,180,230,270,350,390,490,620,620,8020,0,120.0,133.15489155324187,3.254524999988462,617.3701300000118,4251.496633416459
1787616147,50,,Aggregated,345.600000,0.000000,120,140,160,180,230,270,340,390,490,620,620,8345,0,120.0,133.93056021306168,3.254524999988462,617.3701300000118,4261.114919113242
1787616148,50,,Aggregated,338.900000,0.000000,120,140,160,180,230,270,340,390,490,620,620,8654,0,120.0,134.3996519066327,3.254524999988462,617.3701300000118,4268.593020568524
1787616149,50,,Aggregated,339.300000,0.000000,120,140,170,180,230,280,350,390,490,620,620,8933,0,120.0,136.02661849177213,3.254524999988462,617.3701300000118,4288.825366618157
1787616150,50,,Aggregated,336.800000,0.000000,120,140,170,180,230,280,350,390,490,620,620,9241,0,120.0,137.02237431587483,3.254524999988462,617.3701300000118,4279.750459906936
1787616151,50,,Aggregated,322.400000,0.000000,120,140,170,180,230,270,350,390,490,620,620,9572,0,120.0,137.26605155871283,3.254524999988462,617.3701300000118,4290.78343083995
1787616152,50,,Aggregated,329.300000,0.000000,120,150,170,190,230,280,350,390,490,620,620,9850,0,120.0,138.4885413064976,3.254524999988462,617.3701300000118,4279.225888324873
1787616153,50,,Aggregated,327.500000,0.000000,120,150,170,190,230,280,350,390,490,540,620,10190,0,120.0,138.68484815858702,3.254524999988462,617.3701300000118,4304.1637880274775
1787616154,50,,Aggregated,317.800000,0.000000,120,150,170,180,230,280,350,390,490,540,620,10544,0,120.0,138.60402562224985,3.254524999988462,617.3701300000118,4320.4825493171475
